CODIGO;PROVINCIA;REGION
01;AZUAY;SIERRA
02;BOLIVAR;SIERRA
03;CA¥AR;SIERRA
04;CARCHI;SIERRA
05;COTOPAXI;SIERRA
06;CHIMBORAZO;SIERRA
07;EL ORO;COSTA
08;ESMERALDAS;COSTA
09;GUAYAS;COSTA
10;IMBABURA;SIERRA
11;LOJA;SIERRA
12;LOS RIOS;COSTA
13;MANABI;COSTA
14;MORONA SANTIAGO;ORIENTE
15;NAPO;ORIENTE
16;PASTAZA;ORIENTE
17;PICHINCHA;SIERRA
18;TUNGURAHUA;SIERRA
19;ZAMORA CHINCHIPE;ORIENTE
20;GALAPAGOS;INSULAR
21;SUCUMBIOS;ORIENTE
22;ORELLANA;ORIENTE
23;SANTO DOMINGO DE LOS TSACHILAS;COSTA
24;SANTA ELENA;COSTA
